x_px,y_px
1.104278808593750000e+03,5.425108642578125000e+02
1.107217895507812500e+03,5.426956787109375000e+02
1.110156738281250000e+03,5.428833007812500000e+02
1.113095581054687500e+03,5.430728759765625000e+02
1.116034545898437500e+03,5.432637329101562500e+02
1.118973632812500000e+03,5.434549560546875000e+02
1.121913085937500000e+03,5.436457519531250000e+02
1.124853027343750000e+03,5.438352661132812500e+02
1.127793701171875000e+03,5.440227661132812500e+02
1.130734985351562500e+03,5.442074584960937500e+02
1.133677246093750000e+03,5.443884277343750000e+02
1.136620483398437500e+03,5.445649414062500000e+02
1.139564819335937500e+03,5.447361450195312500e+02
1.142510620117187500e+03,5.449012451171875000e+02
1.145457641601562500e+03,5.450593872070312500e+02
1.148406372070312500e+03,5.452098999023437500e+02
1.151356689453125000e+03,5.453518066406250000e+02
1.154308837890625000e+03,5.454843750000000000e+02
1.157262939453125000e+03,5.456068115234375000e+02
1.160219116210937500e+03,5.457182617187500000e+02
1.163177490234375000e+03,5.458179321289062500e+02
1.166138305664062500e+03,5.459049682617187500e+02
1.169101562500000000e+03,5.459786376953125000e+02
1.172067504882812500e+03,5.460380859375000000e+02
1.175036132812500000e+03,5.460825195312500000e+02
1.178007568359375000e+03,5.461115722656250000e+02
1.180981079101562500e+03,5.461292724609375000e+02
1.183955200195312500e+03,5.461424560546875000e+02
1.186928955078125000e+03,5.461579589843750000e+02
1.189900756835937500e+03,5.461825561523437500e+02
1.192869506835937500e+03,5.462230834960937500e+02
1.195833740234375000e+03,5.462863769531250000e+02
1.198792358398437500e+03,5.463792724609375000e+02
1.201744018554687500e+03,5.465085449218750000e+02
1.204687377929687500e+03,5.466809692382812500e+02
1.207621093750000000e+03,5.469034423828125000e+02
1.210544067382812500e+03,5.471828002929687500e+02
1.213454833984375000e+03,5.475257568359375000e+02
1.216352172851562500e+03,5.479392700195312500e+02
1.219234741210937500e+03,5.484300537109375000e+02
1.222101318359375000e+03,5.490049438476562500e+02
1.224950683593750000e+03,5.496707153320312500e+02
1.227781372070312500e+03,5.504343261718750000e+02
1.230592163085937500e+03,5.513025512695312500e+02
1.233370605468750000e+03,5.522913208007812500e+02
1.236082763671875000e+03,5.534339599609375000e+02
1.238692626953125000e+03,5.547658691406250000e+02
1.241163940429687500e+03,5.563222045898437500e+02
1.243460449218750000e+03,5.581384277343750000e+02
1.245550048828125000e+03,5.602373657226562500e+02
1.247417846679687500e+03,5.625890502929687500e+02
1.249053588867187500e+03,5.651496582031250000e+02
1.250446899414062500e+03,5.678752441406250000e+02
1.251587402343750000e+03,5.707220458984375000e+02
1.252464965820312500e+03,5.736460571289062500e+02
1.253068969726562500e+03,5.766035156250000000e+02
1.253389282226562500e+03,5.795504760742187500e+02
1.253420654296875000e+03,5.824498901367187500e+02
1.253182373046875000e+03,5.852968750000000000e+02
1.252700683593750000e+03,5.880960693359375000e+02
1.252001953125000000e+03,5.908520507812500000e+02
1.251112426757812500e+03,5.935695800781250000e+02
1.250058715820312500e+03,5.962532348632812500e+02
1.248866943359375000e+03,5.989075927734375000e+02
1.247563476562500000e+03,6.015372924804687500e+02
1.246174804687500000e+03,6.041470336914062500e+02
1.244727172851562500e+03,6.067414550781250000e+02
1.243246826171875000e+03,6.093250732421875000e+02
1.241749511718750000e+03,6.119005126953125000e+02
1.240236328125000000e+03,6.144674682617187500e+02
1.238706909179687500e+03,6.170252685546875000e+02
1.237160888671875000e+03,6.195734252929687500e+02
1.235598144531250000e+03,6.221112670898437500e+02
1.234018188476562500e+03,6.246383056640625000e+02
1.232420898437500000e+03,6.271538696289062500e+02
1.230805908203125000e+03,6.296574707031250000e+02
1.229172973632812500e+03,6.321484375000000000e+02
1.227521850585937500e+03,6.346262207031250000e+02
1.225852050781250000e+03,6.370902709960937500e+02
1.224163452148437500e+03,6.395399780273437500e+02
1.222455810546875000e+03,6.419747314453125000e+02
1.220728759765625000e+03,6.443939819335937500e+02
1.218981933593750000e+03,6.467971801757812500e+02
1.217215087890625000e+03,6.491836547851562500e+02
1.215428100585937500e+03,6.515529174804687500e+02
1.213620483398437500e+03,6.539042968750000000e+02
1.211791992187500000e+03,6.562373046875000000e+02
1.209942382812500000e+03,6.585513305664062500e+02
1.208071411132812500e+03,6.608457031250000000e+02
1.206178588867187500e+03,6.631199340820312500e+02
1.204263916015625000e+03,6.653734741210937500e+02
1.202326782226562500e+03,6.676056518554687500e+02
1.200367187500000000e+03,6.698158569335937500e+02
1.198384765625000000e+03,6.720036621093750000e+02
1.196379150390625000e+03,6.741683349609375000e+02
1.194349975585937500e+03,6.763093872070312500e+02
1.192297241210937500e+03,6.784261474609375000e+02
1.190220336914062500e+03,6.805181274414062500e+02
1.188119262695312500e+03,6.825847167968750000e+02
1.185993530273437500e+03,6.846253051757812500e+02
1.183843505859375000e+03,6.866397094726562500e+02
1.181669433593750000e+03,6.886278686523437500e+02
1.179471801757812500e+03,6.905896606445312500e+02
1.177250732421875000e+03,6.925249633789062500e+02
1.175006958007812500e+03,6.944336547851562500e+02
1.172740600585937500e+03,6.963157348632812500e+02
1.170452026367187500e+03,6.981710815429687500e+02
1.168141723632812500e+03,6.999995727539062500e+02
1.165809936523437500e+03,7.018011474609375000e+02
1.163457153320312500e+03,7.035757446289062500e+02
1.161083740234375000e+03,7.053231201171875000e+02
1.158690063476562500e+03,7.070433959960937500e+02
