s_m,x_m,y_m,kappa
3.662519715322918046e+01,-3.364118442230007844e+01,4.901903067451504370e+01,1.101341673493622976e-02
3.679616303682437461e+01,-3.347199981309179861e+01,4.899441561082372942e+01,1.127137032846733077e-02
3.696712430516100767e+01,-3.330278500271005981e+01,4.897004137814367652e+01,1.155234059015429297e-02
3.713807309131166079e+01,-3.313352285243514928e+01,4.894608700545942526e+01,1.184545717971923623e-02
3.730901609076456538e+01,-3.296422975819653090e+01,4.892239402537947512e+01,1.217957936522864534e-02
3.747995255598119968e+01,-3.279488326197741088e+01,4.889913377260646854e+01,1.246456032425863163e-02
3.765087830055222895e+01,-3.262550837101222356e+01,4.887616082182315580e+01,1.268505992513925366e-02
3.782180112203452893e+01,-3.245607730551385828e+01,4.885362806904948485e+01,1.297874931960953625e-02
3.799271646372179845e+01,-3.228661354069787137e+01,4.883140001383839035e+01,1.330457538650271082e-02
3.816362427158399839e+01,-3.211709801704930101e+01,4.880962925293268739e+01,1.358755521696486217e-02
3.833452760660895819e+01,-3.194754547598835259e+01,4.878818430615192625e+01,1.383446589003512611e-02
3.850542696487849526e+01,-3.177793835239465281e+01,4.876720778872857665e+01,1.410233074970992061e-02
3.867631850188492848e+01,-3.160829696350816675e+01,4.874657488788827209e+01,1.441331673232626800e-02
3.884720940371072828e+01,-3.143859828443893534e+01,4.872642399091091647e+01,1.472980197132936139e-02
3.901809596290219417e+01,-3.126886095754822392e+01,4.870663874458207232e+01,1.502002786611516226e-02
3.918898197811780193e+01,-3.109906701929344308e+01,4.868735017988170455e+01,1.527764953495360824e-02
3.935986740056230104e+01,-3.092923042326299310e+01,4.866844625825618920e+01,1.553428616171095324e-02
3.953074951023137373e+01,-3.075934138790558947e+01,4.865005030570448241e+01,1.582065911952533141e-02
3.970163541953083097e+01,-3.058940533072845014e+01,4.863205779425693720e+01,1.615233973240405921e-02
3.987252213871443729e+01,-3.041941399686004388e+01,4.861458732766397617e+01,1.645065301094483096e-02
4.004341306782744425e+01,-3.024937498726164620e+01,4.859754488453209831e+01,1.664915531357925166e-02
4.021430605794500934e+01,-3.007928137032212135e+01,4.858103502239605120e+01,1.692043812547527545e-02
4.038520852610976419e+01,-2.990913604619014876e+01,4.856496572555921176e+01,1.727662143587339189e-02
4.055611389480630180e+01,-2.973893660388018390e+01,4.854944815852451256e+01,1.757305540087438292e-02
4.072703007687733390e+01,-2.956868469209079109e+01,4.853439399545261779e+01,1.781853625821490025e-02
4.089795418497946144e+01,-2.939837593006992122e+01,4.851990343613190504e+01,1.807631858208949560e-02
4.106889105440701115e+01,-2.922801417380766509e+01,4.850589324937612901e+01,1.835993491131000452e-02
4.123984147009646506e+01,-2.905759236613306840e+01,4.849246000355391573e+01,1.864088420453156522e-02
4.141080658252604962e+01,-2.888711710915537978e+01,4.847952723793891749e+01,1.895872889995102797e-02
4.158178735732343512e+01,-2.871658239253015310e+01,4.846718479993551654e+01,1.923888966748828200e-02
4.175278838996064223e+01,-2.854599020621706629e+01,4.845536705345350015e+01,1.945377412441759782e-02
4.192380801953972735e+01,-2.837533891720498858e+01,4.844414870866095413e+01,1.974606680418097837e-02
4.209485075900470008e+01,-2.820462973362267434e+01,4.843347194115656151e+01,2.003088132884254732e-02
4.226591815446154499e+01,-2.803385835738563969e+01,4.842341257504847363e+01,2.032991435373171160e-02
4.243701535526133028e+01,-2.786302520221707013e+01,4.841391072172012855e+01,2.056503708614788872e-02
4.260813661889432069e+01,-2.769213367905730294e+01,4.840504651394462599e+01,2.038867629477124702e-02
4.277929503971588332e+01,-2.752117653662916297e+01,4.839674829299460157e+01,1.966194447881838836e-02
4.295048292155413350e+01,-2.735016140296819387e+01,4.838905966846297702e+01,1.852455172901248601e-02
4.312170047316378430e+01,-2.717909437218423818e+01,4.838188185835366539e+01,1.724037279074719375e-02
4.329294709570584843e+01,-2.700797669918861033e+01,4.837523748324185391e+01,1.599807814389720209e-02
4.346422215860694394e+01,-2.683681412345948658e+01,4.836903104774741280e+01,1.478341163386179095e-02
4.363552447801881584e+01,-2.666560814728693529e+01,4.836328662796027089e+01,1.355288645224204079e-02
4.380684941123363529e+01,-2.649436758687507876e+01,4.835791045730665871e+01,1.232237011485231952e-02
4.397819868778683627e+01,-2.632309091633855758e+01,4.835292280202298798e+01,1.107518692720811659e-02
4.414956716362326006e+01,-2.615178661333916921e+01,4.834823342206480845e+01,9.795479252271246592e-03
4.432094918737007561e+01,-2.598046047347731147e+01,4.834385713784321581e+01,8.551901701363330902e-03
4.449235334248362506e+01,-2.580910661886583313e+01,4.833970492157020971e+01,7.395138159529256877e-03
4.466375941521268800e+01,-2.563774515676235666e+01,4.833579454126132902e+01,6.196611371131445327e-03
4.483517560041196504e+01,-2.546636999820583824e+01,4.833204439753051673e+01,4.871120969344926860e-03
4.500659575445024529e+01,-2.529498733473989347e+01,4.832845944650886594e+01,3.624619911231844252e-03
4.517802085826158276e+01,-2.512359803936973535e+01,4.832495578424644833e+01,2.471596194839925827e-03
4.534943731814866652e+01,-2.495221541272979948e+01,4.832155019968347887e+01,1.215630585703296506e-03
4.552085314130093252e+01,-2.478083315977350765e+01,4.831815788504687248e+01,-4.422500481548466493e-05
4.569225481313783632e+01,-2.460946469157313032e+01,4.831478427938797893e+01,-1.221905732107474813e-03
