x_m,y_m
-3.448651479640193429e+01,4.914695599577321161e+01
-3.431752021876521042e+01,4.912078131071461939e+01
-3.414849380274958435e+01,4.909489317106617534e+01
-3.397942847315974291e+01,4.906929865202320684e+01
-3.381032422999567899e+01,4.904400836637867656e+01
-3.364118461085505629e+01,4.901902938932789766e+01
-3.347200607814021112e+01,4.899437233366383282e+01
-3.330278509425349398e+01,4.897004073698414572e+01
-3.313352873439021096e+01,4.894604521208179904e+01
-3.296422992335505597e+01,4.892239283415212014e+01
-3.279488866114802192e+01,4.889909421598805750e+01
-3.262550848536677250e+01,4.887615997038258797e+01
-3.245608232081599454e+01,4.885359009733571156e+01
-3.228661370509333750e+01,4.883139874723805463e+01
-3.211710263819880851e+01,4.880959299528493034e+01
-3.194754558253474386e+01,4.878818345426930136e+01
-3.177794253810115066e+01,4.876717366178883140e+01
-3.160829704249567840e+01,4.874657423063649730e+01
-3.143860202052302810e+01,4.872639223600758385e+01
-3.126886100978083505e+01,4.870663829069508211e+01
-3.109907047267146396e+01,4.868731946989430526e+01
-3.092923040919490063e+01,4.866844638639821596e+01
-3.075934435694880875e+01,4.865002257780446371e+01
-3.058940524073786804e+01,4.863205865690602536e+01
-3.041941659815974219e+01,4.861456169889821410e+01
-3.024937489161677462e+01,4.859754585417164208e+01
-3.007928365870662191e+01,4.858101112272633770e+01
-2.990913582423396377e+01,4.856496811735523522e+01
-2.973893846339412050e+01,4.854942745085133993e+01
-2.956868450099177181e+01,4.853439619840992236e+01
-2.939837747462458850e+01,4.851988497282398782e+01
-2.922801384669489977e+01,4.850589731169118579e+01
-2.905759361720271272e+01,4.849244382780446472e+01
-2.888711678614802736e+01,4.847953159635915199e+01
-2.871658335353083658e+01,4.846717123014821027e+01
-2.854598978175349089e+01,4.845537334196461643e+01
-2.837533960841364689e+01,4.844413793180837047e+01
-2.820462929591364798e+01,4.843347915007008453e+01
-2.803385884425349417e+01,4.842340407194508600e+01
-2.786302471583552176e+01,4.841391977262867385e+01
-2.769213398585505814e+01,4.840504040251148865e+01
-2.752117604151911934e+01,4.839675888639821721e+01
-2.735016149562068222e+01,4.838905753630055528e+01
-2.717909388575740337e+01,4.838189390104665222e+01
-2.700797674952693228e+01,4.837523614225759161e+01
-2.683681362452693264e+01,4.836904534635914388e+01
-2.666560804835505394e+01,4.836328967497243525e+01
-2.649436709620661645e+01,4.835792667692555824e+01
-2.632309076808162018e+01,4.835292805143727435e+01
-2.615178613917537120e+01,4.834825134733570451e+01
-2.598046028468318269e+01,4.834386472624196074e+01
-2.580910612940974147e+01,4.833972573698414976e+01
-2.563774489894099418e+01,4.833580607878101887e+01
-2.546636951808162053e+01,4.833206683805836690e+01
-2.529498706202693370e+01,4.832847263883961375e+01
-2.512359753077693370e+01,4.832498102995289457e+01
-2.495221507472224687e+01,4.832156724821462035e+01
-2.478083261866755294e+01,4.831818530485524832e+01
-2.460946431300349246e+01,4.831480336149586208e+01
-2.443811015773005835e+01,4.831138604215992416e+01
-2.426677015284724348e+01,4.830789797087086868e+01
-2.409545844874568132e+01,4.830429669645680235e+01
-2.392416797023005870e+01,4.830055391813648669e+01
-2.375291286769099486e+01,4.829663072233570631e+01
-2.358168606593318373e+01,4.829249173307789533e+01
-2.341050879054255773e+01,4.828809803678883839e+01
-2.323936689112849052e+01,4.828341425749195537e+01
-2.306828159327692873e+01,4.827840855680837251e+01
-2.289723874659724601e+01,4.827303848356618232e+01
-2.272625957667536767e+01,4.826727573698414631e+01
-2.255533700831599475e+01,4.826107432829273591e+01
-2.238448519190974650e+01,4.825440949430836213e+01
-2.221369705226130975e+01,4.824723524626149640e+01
-2.204298673976130374e+01,4.823952328337087181e+01
-2.187234717921442950e+01,4.823127360563648836e+01
-2.170177129542536676e+01,4.822253220182790301e+01
-2.153125201319880944e+01,4.821334152311696641e+01
-2.136078933253474332e+01,4.820375463346852030e+01
-2.119036202784724310e+01,4.819381752165212163e+01
-2.101997009913630876e+01,4.818357263883962105e+01
-2.084959939601129975e+01,4.817307304899586029e+01
-2.067924991847223737e+01,4.816236120329274684e+01
-2.050891459132380135e+01,4.815148662809743030e+01
-2.033857926417536532e+01,4.814049884977711713e+01
-2.016823686183161612e+01,4.812943678190602270e+01
-1.999788738429255375e+01,4.811835348844898874e+01
-1.982751668116755184e+01,4.810729495817555801e+01
-1.965711767726131143e+01,4.809631071745289432e+01
-1.948667622218317774e+01,4.808544321745289096e+01
-1.931619939112849238e+01,4.807473844694509069e+01
-1.914566595851130160e+01,4.806424946989430680e+01
-1.897507592433161960e+01,4.805401873747243258e+01
-1.880442221339411901e+01,4.804409577604664605e+01
-1.863368360011287450e+01,4.803452657438648998e+01
-1.846287423487849821e+01,4.802536065885914240e+01
-1.829196581690973744e+01,4.801663694303883290e+01
-1.812096542140193378e+01,4.800841202848805267e+01
-1.794985889796443246e+01,4.800072836637868079e+01
-1.777863917140193450e+01,4.799363194548024580e+01
-1.760729916651911253e+01,4.798717229215992575e+01
